0,1,2
0,1,2
0,1,2
0,1,2
0,1,2
0,2,1
0,1,3
0,1,2
0,2,1
0,1,3
0,1,2
0,1,3
1,0,2
0,2,1
0,1,3
0,1,2
0,2,1
1,0,3
0,2,1
0,1,3
1,0,4
0,2,1
0,1,3
0,1,2
0,2,3
1,0,4
0,2,1
0,1,3
1,0,4
0,2,1
1,0,3
0,2,1
0,3,1
1,0,4
0,2,1
0,1,3
1,0,2
0,2,3
1,0,3
2,0,1
0,3,1
1,0,4
0,2,5
1,0,3
2,0,1
0,3,2
1,0,4
2,0,1
0,3,1
1,4,0
0,2,5
1,0,3
2,0,1
0,3,1
1,0,4
0,2,5
0,1,3
1,2,0
0,3,2
1,0,4
2,0,1
0,3,1
1,4,0
0,2,5
1,0,3
2,0,1
0,3,1
1,0,4
2,0,5
0,3,1
1,4,2
0,2,5
1,0,6
2,0,1
0,3,1
1,4,0
0,2,5
1,0,3
2,4,1
0,3,5
1,0,4
2,0,5
0,3,1
1,4,0
0,2,5
1,0,3
2,0,4
0,3,1
1,4,0
2,0,5
3,0,1
4,1,2
0,5,2
1,0,6
2,0,7
0,3,1
1,4,0
0,2,5
1,0,3
2,4,0
0,3,5
1,4,0
2,0,5
3,0,1
4,1,2
0,5,2
1,0,6
2,0,7
0,3,1
1,4,0
2,0,5
3,1,0
4,2,1
0,5,3
1,6,0
2,0,7
3,0,1
1,4,0
0,2,5
1,3,6
2,7,0
0,3,8
1,4,0
2,0,5
3,0,1
4,1,2
0,5,2
1,6,0
2,0,7
0,3,8
1,4,0
0,2,5
1,3,0
2,4,7
0,3,5
1,4,6
2,0,5
3,0,1
4,1,2
0,5,2
1,6,3
2,7,0
0,3,8
1,4,9
2,0,5
3,1,0
4,2,1
0,5,3
1,6,0
2,0,7
3,0,1
4,1,0
0,5,2
1,6,3
2,7,4
0,3,8
1,4,9
2,0,5
3,0,1
4,1,2
0,5,2
1,6,0
2,7,0
3,0,8
1,4,9
2,0,5
3,1,6
4,2,7
0,5,3
1,6,4
2,0,7
3,0,1
4,1,2
0,5,2
1,6,3
2,7,4
0,3,8
1,4,9
2,0,5
3,0,1
4,1,2
0,5,2
1,6,0
2,7,0
3,0,8
4,1,9
5,2,0
1,3,6
2,4,7
0,3,5
1,4,6
2,0,5
3,0,1
4,1,2
0,5,2
1,6,3
2,7,0
3,0,8
1,4,9
2,5,0
3,1,6
4,2,7
0,5,3
1,6,4
2,7,0
3,0,8
4,1,9
5,0,2
1,6,3
2,7,4
0,3,8
1,4,9
2,0,5
3,0,1
4,1,2
0,5,2
1,6,3
2,7,0
3,0,8
4,1,9
2,5,0
3,6,1
4,2,7
0,5,3
1,6,4
2,0,7
3,0,1
4,1,9
5,0,2
1,6,3
2,7,4
3,0,8
1,4,9
2,5,0
3,6,1
4,7,2
0,5,8
1,6,9
2,7,0
3,0,8
4,1,9
5,2,0
6,1,3
2,7,4
0,3,8
1,4,9
2,5,0
3,0,6
4,1,7
5,0,2
1,6,3
2,7,0
3,0,8
1,4,9
2,5,0
3,6,1
4,7,2
0,5,8
1,6,9
2,7,0
3,0,8
4,1,9
5,0,2
6,1,3
2,7,4
0,3,8
1,4,9
2,5,0
3,6,0
4,7,1
5,0,8
1,6,9
2,7,0
3,0,8
4,1,9
5,2,0
6,3,1
7,4,2
0,8,5
1,9,4
2,10,5
3,0,11
4,1,12
5,0,2
6,1,3
2,7,4
3,0,8
1,4,9
2,5,10
3,6,1
4,7,2
5,0,8
1,6,9
2,7,10
3,0,8
4,1,9
5,2,0
6,1,3
7,2,4
0,8,3
1,9,4
2,5,10
3,6,11
4,1,7
5,0,2
1,6,3
2,7,0
3,8,0
4,1,9
5,2,0
6,3,1
4,7,2
0,5,8
1,6,9
2,7,10
3,0,8
4,1,9
5,0,2
6,1,3
7,2,4
3,8,0
1,4,9
2,5,10
3,6,11
4,7,12
5,0,8
1,6,9
2,7,10
3,8,0
4,1,9
5,2,0
6,3,1
7,2,4
8,0,3
1,9,4
2,10,5
3,11,0
4,1,12
5,0,2
6,1,3
2,7,4
3,8,0
4,1,9
2,5,10
3,6,11
4,7,12
5,0,8
1,6,9
2,7,10
3,8,0
4,1,9
5,0,2
6,1,3
7,2,4
8,3,0
1,9,4
2,10,5
3,11,6
4,12,7
5,0,13
6,1,14
2,7,15
3,8,0
4,1,9
5,2,10
6,3,1
7,4,2
8,0,5
1,9,6
2,10,7
3,11,0
4,1,12
5,0,2
6,1,3
7,2,4
8,3,0
1,4,9
2,5,10
3,6,11
4,7,12
5,0,8
1,6,9
2,7,10
3,8,0
4,1,9
5,2,0
6,1,3
7,2,4
8,0,3
1,9,4
2,10,5
3,11,6
4,12,7
5,0,13
6,1,14
2,7,15
3,8,0
4,9,1
5,2,10
6,3,11
7,4,12
5,8,0
1,6,9
2,7,10
3,8,11
4,1,9
5,0,2
6,1,3
7,2,4
8,3,0
9,1,4
2,10,5
3,11,6
4,12,7
5,0,13
6,1,14
2,7,15
3,8,0
4,9,1
5,2,10
6,3,1
7,4,2
8,0,5
1,9,6
2,10,7
3,11,8
4,12,1
5,0,13
6,1,14
7,2,15
8,3,0
4,9,1
5,2,10
3,6,11
4,7,12
5,8,0
1,6,9
2,7,10
3,8,11
4,9,1
5,2,10
6,1,3
7,2,4
8,3,0
9,1,4
2,10,5
3,11,6
4,12,7
5,13,0
6,1,14
7,2,15
3,8,0
4,9,1
5,10,2
6,3,11
7,4,12
8,5,0
1,9,6
2,10,7
3,11,8
4,12,9
5,0,13
6,1,14
7,2,4
8,3,0
9,4,1
2,10,5
3,11,6
4,12,7
5,13,8
6,1,14
2,7,15
3,8,0
4,9,1
5,10,2
6,3,11
7,2,4
8,3,0
9,1,4
2,10,5
3,11,6
4,12,7
5,13,0
6,1,14
7,2,15
8,3,0
4,9,1
5,10,2
6,3,11
7,4,12
5,8,13
1,6,9
2,7,10
3,8,11
4,9,12
5,10,2
6,1,11
7,2,4
8,3,0
9,1,4
2,10,5
3,11,6
4,12,7
5,13,0
6,1,14
7,2,15
3,8,16
4,9,1
5,10,2
6,11,3
7,4,12
8,5,13
9,1,6
2,10,7
3,11,8
4,12,9
5,13,0
6,1,14
7,2,15
8,3,0
9,4,1
10,5,2
3,11,6
4,12,7
5,13,8
6,1,9
2,7,10
3,8,11
4,9,1
5,10,2
6,11,1
7,2,12
8,3,0
9,1,4
2,10,5
3,11,6
4,12,7
5,13,0
6,1,14
7,2,15
8,3,16
4,9,1
5,10,2
6,11,3
7,4,12
8,5,13
9,1,6
2,10,7
3,11,8
4,12,9
5,13,10
6,1,14
7,2,15
8,3,0
9,4,1
10,2,5
3,11,6
4,12,7
5,13,8
6,1,14
7,2,15
3,8,16
4,9,1
5,10,2
6,11,3
7,12,4
8,13,5
9,1,6
2,10,7
3,11,8
4,12,9
5,13,0
6,1,14
7,2,15
8,3,16
9,4,1
10,5,2
11,6,3
12,7,4
5,8,13
6,1,9
2,7,10
3,8,11
4,9,12
5,10,13
6,11,1
7,2,12
8,3,0
9,1,4
10,2,5
3,11,6
4,12,7
5,13,8
6,14,1
7,2,15
8,3,16
4,9,1
5,10,2
6,11,3
7,12,4
8,13,5
9,1,6
2,10,7
3,11,8
4,12,9
5,13,10
6,14,1
7,2,15
8,3,16
9,4,1
10,5,2
11,3,6
12,4,7
5,13,8
6,14,1
7,2,15
3,8,16
4,9,17
5,10,2
6,11,3
7,12,2
8,13,3
9,1,4
10,2,5
3,11,6
4,12,7
5,13,0
6,14,1
7,2,15
8,3,16
9,4,1
10,5,2
11,6,3
7,12,4
8,13,5
9,6,14
2,10,7
3,11,8
4,12,9
5,13,10
6,14,11
7,2,15
8,3,16
9,4,1
10,2,5
11,3,6
4,12,7
5,13,8
6,14,1
7,2,15
8,3,16
4,9,17
5,10,18
6,11,3
7,12,4
8,13,5
9,1,14
10,2,15
3,11,16
4,12,17
5,13,10
6,14,1
7,2,15
8,3,16
9,4,1
10,5,2
11,6,3
12,4,7
13,5,8
6,14,9
2,7,15
3,8,16
4,9,17
5,10,18
6,11,19
7,12,2
8,13,3
9,1,4
10,2,5
11,3,6
4,12,7
5,13,8
6,14,1
7,15,2
8,3,16
9,4,17
10,5,2
6,11,3
7,12,4
8,13,5
9,14,6
10,2,15
3,11,16
4,12,9
5,13,10
6,14,1
7,2,15
8,3,16
9,4,1
10,2,5
11,3,6
12,4,7
13,5,8
6,14,1
7,15,2
3,8,16
4,9,17
5,10,18
6,11,19
7,12,4
8,13,5
9,14,1
10,2,15
11,3,16
4,12,17
5,13,18
6,14,1
7,15,2
8,3,16
9,4,17
10,5,2
11,6,3
12,7,4
13,8,5
14,9,6
2,15,10
3,11,16
4,9,12
5,10,13
6,11,14
7,12,15
8,3,13
9,4,1
10,2,5
11,3,6
12,4,7
5,13,8
6,14,1
7,15,2
8,3,16
9,4,17
5,10,18
6,11,19
7,12,4
8,13,5
9,14,1
10,2,15
3,11,16
4,12,17
5,13,18
6,14,1
7,15,2
8,3,16
9,4,17
10,5,2
11,6,3
12,4,7
13,5,8
14,6,9
15,7,2
3,8,16
4,9,17
5,10,18
6,11,19
7,12,20
8,13,21
9,14,1
10,2,15
11,3,16
12,4,7
5,13,8
6,14,1
7,15,2
8,16,3
9,4,17
10,5,18
11,6,3
12,7,4
13,8,5
9,14,6
10,15,2
3,11,16
4,12,17
5,13,18
6,14,19
7,15,2
8,3,16
9,4,17
10,2,5
11,3,6
12,4,7
13,5,8
14,6,9
7,15,2
8,16,3
4,9,17
5,10,18
6,11,19
7,12,20
8,13,21
9,14,1
10,2,15
11,3,16
4,12,17
5,13,18
6,14,19
7,15,2
8,16,3
9,4,17
10,5,18
11,6,3
12,7,4
13,8,5
14,9,6
15,7,10
3,16,8
4,17,9
5,10,18
6,11,19
7,12,20
8,13,21
9,14,4
10,2,5
11,3,6
12,4,7
13,5,8
6,14,1
7,15,2
8,16,3
9,4,17
10,5,18
11,6,19
7,12,20
8,13,5
9,14,6
10,15,2
11,3,16
4,12,17
5,13,18
6,14,19
7,15,20
8,16,3
9,4,17
10,5,2
11,3,6
12,4,7
13,5,8
14,6,9
15,7,2
16,8,3
4,9,17
5,10,18
6,11,19
7,12,20
8,13,21
9,14,22
10,2,15
11,3,16
12,4,17
5,13,18
6,14,19
7,15,2
8,16,3
9,17,4
10,5,18
11,6,19
12,7,4
13,8,5
14,9,6
15,10,2
16,3,11
4,17,12
5,18,13
6,14,19
7,15,20
8,16,21
9,17,4
10,2,5
11,3,6
12,4,7
13,5,8
14,6,9
15,7,2
8,16,3
9,17,4
10,5,18
6,11,19
7,12,20
8,13,21
9,14,22
10,15,2
11,3,16
12,4,17
5,13,18
6,14,19
7,15,20
8,16,3
9,17,4
10,5,18
11,6,3
12,7,4
13,5,8
14,6,9
15,7,10
16,3,8
4,17,9
5,18,10
6,19,11
7,12,20
8,13,21
9,14,22
10,2,15
11,3,16
12,4,17
13,5,18
14,6,1
7,15,2
8,16,3
9,17,4
10,5,18
11,6,19
12,7,20
13,8,21
14,9,6
10,15,2
11,16,3
4,12,17
5,13,18
6,14,19
7,15,20
8,16,21
9,17,4
10,18,5
11,3,6
12,4,7
13,5,8
14,6,9
15,7,2
16,8,3
17,9,4
5,10,18
6,11,19
7,12,20
8,13,21
9,14,22
10,15,2
11,3,16
12,4,17
13,5,18
6,14,19
7,15,2
8,16,3
9,17,4
10,18,5
11,6,19
12,7,20
13,8,5
14,9,6
15,10,7
16,3,11
17,4,12
5,18,13
6,19,14
7,20,12
8,21,13
9,22,14
10,23,2
11,3,24
12,4,7
13,5,8
14,6,9
15,7,2
8,16,3
9,17,4
10,18,5
11,6,19
12,7,20
8,13,21
9,14,22
10,15,2
11,16,3
12,4,17
5,13,18
6,14,19
7,15,20
8,16,21
9,17,4
10,18,5
11,6,19
12,4,7
13,5,8
14,6,9
15,7,10
16,8,3
17,4,9
5,18,10
6,19,11
7,20,12
8,13,21
9,14,22
10,15,23
11,3,16
12,4,17
13,5,18
14,6,19
7,15,2
8,16,3
9,17,4
10,18,5
11,19,6
12,7,20
13,8,21
14,9,22
15,10,7
16,11,3
17,4,12
5,18,13
6,19,14
7,20,15
8,16,21
9,17,22
10,18,23
11,3,19
12,4,7
13,5,8
14,6,9
15,7,2
16,8,3
17,9,4
18,10,5
6,11,19
7,12,20
8,13,21
9,14,22
10,15,23
11,16,3
12,4,17
13,5,18
6,14,19
7,15,20
8,16,21
9,17,4
10,18,5
11,19,6
12,7,20
13,8,5
14,9,6
15,10,7
16,8,11
17,4,9
18,5,10
6,19,11
7,20,12
8,21,13
9,22,14
10,23,15
11,3,24
12,4,25
13,5,26
14,6,27
15,7,2
16,8,3
9,17,4
10,18,5
11,19,6
12,7,20
13,8,21
14,9,22
15,10,23
11,16,3
12,17,4
5,13,18
6,14,19
7,15,20
8,16,21
9,17,22
10,18,23
11,19,6
12,4,20
13,5,8
14,6,9
15,7,10
16,8,3
17,9,4
18,5,10
19,6,11
7,20,12
8,21,13
9,14,22
10,15,23
11,16,24
12,4,17
13,5,18
14,6,19
7,15,20
8,16,3
9,17,4
10,18,5
11,19,6
12,20,7
13,8,21
14,9,22
15,10,23
16,11,3
17,4,12
18,5,13
6,19,14
7,20,15
8,21,16
9,22,17
10,23,18
11,24,3
12,4,25
13,5,26
14,6,27
15,7,2
16,8,3
17,9,4
18,10,5
11,19,6
12,7,20
8,13,21
9,14,22
10,15,23
11,16,24
12,17,4
13,5,18
6,14,19
7,15,20
8,16,21
9,17,22
10,18,5
11,19,6
12,20,7
13,21,8
14,6,9
15,7,10
16,8,11
17,9,4
18,5,10
19,6,11
7,20,12
8,21,13
9,22,14
10,23,15
11,24,16
12,4,25
13,5,26
14,6,27
15,7,20
16,8,3
9,17,4
10,18,5
11,19,6
12,20,7
13,8,21
14,9,22
15,10,23
16,11,24
17,12,4
18,5,13
6,19,14
7,20,15
8,21,16
9,17,22
10,18,23
11,19,24
12,20,4
13,5,21
14,6,22
15,7,10
16,8,3
17,9,4
18,10,5
19,11,6
20,7,12
8,21,13
9,22,14
10,15,23
11,16,24
